,AProve,irankfinder v1.3.2,Ultimate Automizer,muval_dt_eager_nu_parallel_from_c,muval_dt_lazy_parallel_thr_from_c,AProve result,irankfinder v1.3.2 result,Ultimate Automizer result,muval_dt_eager_nu_parallel_from_c result,muval_dt_lazy_parallel_thr_from_c result
C_Integer/Ton_Chanh_15/2Nested_false-termination.c,6.90200305,3.161198139,7.463213205,55.13772798,301.0625081,NO,NO,NO,NO,MAYBE
C_Integer/Ton_Chanh_15/Bangalore_false-termination.c,2.704286814,2.779384136,5.519804001,0.5799310207,0.5762040615,NO,NO,NO,NO,NO
C_Integer/Ton_Chanh_15/Bangalore_v2_false-termination.c,3.352085114,2.812111855,5.530305147,0.5831739903,0.5869889259,NO,NO,NO,NO,NO
C_Integer/Ton_Chanh_15/Bangalore_v3_false-termination.c,3.195559025,2.844432116,5.627720118,0.5456049442,0.5523509979,NO,NO,NO,NO,NO
C_Integer/Ton_Chanh_15/Bangalore_v4_true-termination.c,2.351361036,2.347280979,8.985266924,0.7208800316,0.7149689198,YES,YES,MAYBE,YES,YES
C_Integer/Ton_Chanh_15/Benghazi_nondet_true-termination.c,3.732827902,6.3107059,11.87955999,13.45866203,13.90193796,YES,YES,YES,YES,YES
C_Integer/Ton_Chanh_15/Cairo_nondet_false-termination.c,3.420310974,4.333198071,7.591447115,301.0626869,301.018662,NO,NO,NO,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/Cairo_step2_false-termination.c,3.206154108,3.066895962,6.027185917,201.5449719,1.566839933,NO,NO,MAYBE,NO,NO
C_Integer/Ton_Chanh_15/Copenhagen_disj_true-termination.c,6.503553152,11.23332,15.46172404,301.0742741,301.0743101,YES,YES,YES,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/Gothenburg_v2_true-termination.c,301.0625639,4.885614157,10.88406205,0.8617188931,0.8604938984,TIMEOUT,YES,YES,YES,YES
C_Integer/Ton_Chanh_15/Hanoi_2vars_false-termination.c,10.97784185,3.231855154,6.349661827,285.577004,301.0545521,NO,NO,NO,NO,MAYBE
C_Integer/Ton_Chanh_15/Hanoi_3vars_false-termination.c,9.469672918,4.450309992,6.848741055,301.047714,301.051868,NO,NO,NO,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/Hanoi_plus_false-termination.c,11.56034613,4.469032049,33.27725101,301.0646398,301.0668099,NO,NO,MAYBE,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/McCarthy91_Iteration_true-termination.c,2.430557013,3.498736143,13.93902397,0.8633770943,0.8712749481,YES,YES,YES,YES,YES
C_Integer/Ton_Chanh_15/Mysore_false-termination.c,3.239952087,3.653156996,6.434993982,301.076129,301.0745561,NO,NO,NO,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/Singapore_plus_false-termination.c,5.219481945,4.065883875,6.194682121,301.0756841,301.074764,NO,NO,NO,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/Singapore_true-termination.c,301.0590341,24.13184309,7.348281145,1.160326958,1.144785881,TIMEOUT,YES,YES,YES,YES
C_Integer/Ton_Chanh_15/Singapore_v1_false-termination.c,301.0443079,4.208105087,6.366430044,301.041749,301.069623,TIMEOUT,NO,NO,MAYBE,MAYBE
C_Integer/Ton_Chanh_15/Singapore_v2_false-termination.c,301.0401659,4.170787096,6.652481079,301.03807,301.026531,TIMEOUT,NO,NO,MAYBE,MAYBE
C_Integer/Stroeder_15/2Nested_true-termination.c,2.444888115,2.698617935,6.596779108,0.8813328743,0.8797721863,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/4NestedWith3Variables_true-termination.c,4.246268034,57.00391006,19.81545401,301.071475,301.085799,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/aaron2_true-termination.c,2.25027895,5.430531979,7.136914968,0.9993460178,1.001574993,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/aaron3_true-termination.c,9.314919949,299.071398,95.47651815,2.557121992,2.4135499,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,3.375365019,7.751987219,8.056176901,90.36774492,96.68004107,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,5.637518883,263.8314281,11.86941814,301.084074,301.0925729,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,3.253122091,49.421664,8.440982819,301.0697391,301.074177,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,2.426574945,4.466340065,7.419219017,1.039733171,1.018142939,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,2.120808125,3.736602068,18.51555514,8.904332876,10.85971999,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,3.275763988,21.80465102,11.069345,301.061393,301.0758801,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,2.471457958,8.094130039,8.623172998,1.424633026,1.465393066,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,3.751064062,27.09482288,38.94789314,301.0811579,301.0665851,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,3.557203054,4.366245031,7.931833029,6.440342903,6.163329124,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,2.010555029,2.062531948,6.267069817,0.5864720345,0.5849230289,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,3.217805147,10.27089,22.07671213,301.060802,301.0615571,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,2.284710884,3.859494925,6.661626101,1.309591055,1.174736023,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,3.931090832,56.25406909,6.682926178,1.572634935,1.575021982,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,5.854094982,11.25471807,19.81224203,2.55843091,2.438318014,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,3.529488802,49.67580199,5.72081995,1.739452124,1.740694046,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,3.289487839,3.661062002,5.873902798,1.885279894,1.711915016,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,2.494458914,19.73413992,7.782253027,2.761897087,2.467850924,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,6.179033995,4.010582924,8.333553076,1.308042049,1.374135971,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,2.085313082,3.462955952,18.543185,10.22381306,10.52816319,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,2.644984961,4.437046051,5.662598133,0.8886618614,0.8805639744,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,2.284803867,3.093918085,7.205750942,1.271453857,1.129580975,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,4.017267942,16.06244206,6.330392838,1.165316105,1.169028997,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/AlternDiv.c,3.767553806,7.305759192,6.012421846,1.456964016,1.14428091,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/AlternDivWide.c,4.356415987,12.58609295,8.527305841,4.223258018,301.0879889,NO,NO,NO,NO,MAYBE
C_Integer/Stroeder_15/AlternDivWidening.c,10.80284691,210.5350599,8.422621012,6.099084139,301.0570879,NO,MAYBE,NO,NO,MAYBE
C_Integer/Stroeder_15/AlternKonv.c,6.051289082,16.11022305,5.662791967,1.611855984,1.630934,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/Avery-FLOPS2006-Table1_true-termination.c,2.640805006,4.34966898,7.541126013,3.315190077,3.227641821,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Bangalore_true-termination.c,3.638617992,2.37699008,6.66841197,0.7095868587,0.6604838371,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Ben-Amram-LMCS2010-Ex2.3_true-termination.c,12.32316399,35.48130012,12.432127,301.049468,301.0446012,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/Benghazi_true-termination.c,3.514523029,5.074262857,11.79860997,13.10353804,37.07273698,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,3.216899157,6.67389822,12.56582499,0.8803219795,0.8727099895,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1_true-termination.c,3.429255962,49.93714809,5.632199049,1.616562843,1.629085064,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,4.609856129,28.71004987,20.21982503,2.622659206,2.595781088,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,2.46875,5.089854002,8.261441946,1.281596899,1.283894062,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,14.17638707,28.24452996,9.509333849,301.056056,301.053143,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,2.741554022,2.828449965,6.814826965,0.8514199257,0.8525388241,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Cairo_true-termination.c,3.485776901,16.45243907,7.086009026,1.120368004,1.152607918,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c,8.830719948,299.0427949,57.83581114,3.397847891,2.757141113,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,3.947880983,299.032783,9.60217309,3.008905172,3.015699148,YES,MAYBE,YES,YES,YES
C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,33.44486403,299.062608,40.41352892,129.3450341,54.544554,YES,MAYBE,YES,YES,YES
C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,2.966946125,20.69545794,7.595773935,1.88886404,1.751791,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,6.103003025,4.852242947,6.729984045,1.310618877,1.309957027,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,3.865833044,55.96678901,6.97280407,1.581133127,1.473092079,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,3.781280994,4.560597181,7.231091022,0.5777029991,0.5932679176,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,2.09791708,27.53866601,13.54437208,3.842862844,1.876344919,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,2.3502388,3.702082872,18.69125605,198.741401,172.4003861,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,2.041260004,3.199253082,6.43560195,0.5846540928,0.5796518326,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,2.003773212,3.145537853,6.462245941,0.7417740822,0.7331869602,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,2.148460865,3.065080166,6.508991003,0.7255661488,0.6860420704,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,3.536318064,2.726814032,6.782491922,0.8533821106,0.8523960114,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,8.622227907,3.218409061,6.488155127,195.8334761,301.0649741,NO,NO,NO,NO,MAYBE
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,8.838356972,3.374187946,5.597529173,0.5863559246,0.5422580242,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,3.492435932,3.397742987,5.656383991,0.581444025,0.5888500214,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c,301.0410721,58.02653694,63.057266,301.0593731,301.0538769,TIMEOUT,MAYBE,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,2.575040817,2.976917028,7.846181154,0.8597428799,0.8985881805,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,3.303972006,2.787589073,6.753952026,0.8863561153,0.8406400681,YES,YES,YES,YES,YES
